index;degree;closeness;betweenness;strength;eigenvector_centrality;frequency;speech_acts;words;('degree', 'q4');('degree', 'q3');('degree', 'q2');('degree', 'q1');('closeness', 'q4');('closeness', 'q3');('closeness', 'q2');('closeness', 'q1');('betweenness', 'q4');('betweenness', 'q3');('betweenness', 'q2');('betweenness', 'q1');('strength', 'q4');('strength', 'q3');('strength', 'q2');('strength', 'q1');('eigenvector_centrality', 'q4');('eigenvector_centrality', 'q3');('eigenvector_centrality', 'q2');('eigenvector_centrality', 'q1');('frequency', 'q4');('frequency', 'q3');('frequency', 'q2');('frequency', 'q1');('speech_acts', 'q4');('speech_acts', 'q3');('speech_acts', 'q2');('speech_acts', 'q1');('words', 'q4');('words', 'q3');('words', 'q2');('words', 'q1')
365;2.3333333333333335;1.7500000000000002;0.23076923076923078;0.5;0.75;0.45454545454545453;0.058823529411764705;0.05;0.30434782608695654;0.4782608695652174;0.08695652173913043;0.13043478260869565;0.30434782608695654;0.2608695652173913;0.2608695652173913;0.17391304347826086;0.13043478260869565;0.21739130434782608;0.08695652173913043;0.5652173913043478;0.17391304347826086;0.2608695652173913;0.21739130434782608;0.34782608695652173;0.2608695652173913;0.17391304347826086;0.21739130434782608;0.34782608695652173;0.21739130434782608;0.21739130434782608;0.08695652173913043;0.4782608695652174;0.043478260869565216;0.08695652173913043;0.13043478260869565;0.7391304347826086;0.043478260869565216;0.0;0.08695652173913043;0.8695652173913043
354;7.0;2.0;0.3333333333333333;3.0;5.0;0.5;0.25;0.4;0.875;0.0;0.0;0.125;0.25;0.625;0.0;0.125;0.25;0.0;0.0;0.75;0.375;0.25;0.25;0.125;0.625;0.0;0.25;0.125;0.125;0.25;0.375;0.25;0.125;0.125;0.25;0.5;0.25;0.0;0.125;0.625
325;1.75;0.7500000000000001;0.16666666666666666;0.2222222222222222;0.25;0.08333333333333333;0.0909090909090909;0.1111111111111111;0.4117647058823529;0.17647058823529413;0.17647058823529413;0.23529411764705882;0.17647058823529413;0.4117647058823529;0.17647058823529413;0.23529411764705882;0.11764705882352941;0.0;0.17647058823529413;0.7058823529411765;0.11764705882352941;0.058823529411764705;0.29411764705882354;0.5294117647058824;0.11764705882352941;0.11764705882352941;0.29411764705882354;0.47058823529411764;0.058823529411764705;0.058823529411764705;0.17647058823529413;0.7058823529411765;0.058823529411764705;0.0;0.29411764705882354;0.6470588235294118;0.058823529411764705;0.0;0.4117647058823529;0.5294117647058824
323;0.08333333333333333;0.05555555555555555;0.027777777777777776;0.05555555555555555;0.058823529411764705;0.027777777777777776;0.02857142857142857;0.0606060606060606;0.05263157894736842;0.0;0.3157894736842105;0.631578947368421;0.05263157894736842;0.0;0.0;0.9473684210526315;0.02631578947368421;0.02631578947368421;0.0;0.9473684210526315;0.05263157894736842;0.0;0.0;0.9473684210526315;0.05263157894736842;0.0;0.05263157894736842;0.8947368421052632;0.02631578947368421;0.02631578947368421;0.0;0.9473684210526315;0.02631578947368421;0.02631578947368421;0.02631578947368421;0.9210526315789473;0.05263157894736842;0.0;0.07894736842105263;0.868421052631579
330;;;;0.3333333333333333;0.6666666666666666;0.5;0.6666666666666666;0.6666666666666666;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.14285714285714285;0.42857142857142855;0.0;0.42857142857142855;0.2857142857142857;0.2857142857142857;0.0;0.42857142857142855;0.14285714285714285;0.42857142857142855;0.14285714285714285;0.2857142857142857;0.2857142857142857;0.0;0.2857142857142857;0.42857142857142855;0.2857142857142857;0.0;0.2857142857142857;0.42857142857142855
223;;;;1.0;1.0;1.0;0.4;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.5;0.0;0.0;0.5;0.5;0.0;0.0;0.5;0.5;0.0;0.0;0.5;0.25;0.125;0.0;0.625;0.375;0.0;0.25;0.375
449;1.0;2.0;0.25;0.5;1.0;0.3333333333333333;0.3333333333333333;1.0;0.16666666666666666;0.5;0.16666666666666666;0.16666666666666666;0.3333333333333333;0.5;0.0;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.0;0.6666666666666666;0.16666666666666666;0.16666666666666666;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.16666666666666666;0.16666666666666666;0.3333333333333333;0.16666666666666666;0.0;0.3333333333333333;0.5;0.16666666666666666;0.3333333333333333;0.0;0.5;0.16666666666666666;0.16666666666666666;0.5;0.16666666666666666
143;0.8571428571428571;1.2;0.18749999999999997;0.3333333333333333;0.6;0.3;0.25;0.875;0.2727272727272727;0.09090909090909091;0.3181818181818182;0.3181818181818182;0.2727272727272727;0.5;0.0;0.22727272727272727;0.13636363636363635;0.045454545454545456;0.09090909090909091;0.7272727272727273;0.13636363636363635;0.22727272727272727;0.22727272727272727;0.4090909090909091;0.13636363636363635;0.22727272727272727;0.4090909090909091;0.22727272727272727;0.13636363636363635;0.0;0.4090909090909091;0.45454545454545453;0.13636363636363635;0.18181818181818182;0.13636363636363635;0.5454545454545454;0.3181818181818182;0.18181818181818182;0.13636363636363635;0.36363636363636365
386;1.0;0.5;0.09090909090909091;0.5;1.0;0.4;0.125;0.125;0.15384615384615385;0.5384615384615384;0.15384615384615385;0.15384615384615385;0.07692307692307693;0.46153846153846156;0.3076923076923077;0.15384615384615385;0.07692307692307693;0.0;0.07692307692307693;0.8461538461538461;0.15384615384615385;0.23076923076923078;0.3076923076923077;0.3076923076923077;0.3076923076923077;0.23076923076923078;0.15384615384615385;0.3076923076923077;0.15384615384615385;0.23076923076923078;0.23076923076923078;0.38461538461538464;0.07692307692307693;0.23076923076923078;0.07692307692307693;0.6153846153846154;0.07692307692307693;0.0;0.3076923076923077;0.6153846153846154
63;4.500000000000001;4.500000000000001;2.2500000000000004;0.7999999999999999;0.7999999999999999;0.5;0.125;0.5;0.6428571428571429;0.07142857142857142;0.14285714285714285;0.14285714285714285;0.6428571428571429;0.07142857142857142;0.14285714285714285;0.14285714285714285;0.6428571428571429;0.0;0.07142857142857142;0.2857142857142857;0.2857142857142857;0.2857142857142857;0.07142857142857142;0.35714285714285715;0.2857142857142857;0.2857142857142857;0.07142857142857142;0.35714285714285715;0.21428571428571427;0.21428571428571427;0.14285714285714285;0.42857142857142855;0.07142857142857142;0.21428571428571427;0.14285714285714285;0.5714285714285714;0.21428571428571427;0.07142857142857142;0.2857142857142857;0.42857142857142855
